重安醫院    842高雄市旗山區大仁街18號
中華民國腎友協會    333桃園縣龜山鄉民安街102-1號
台北市立浩然敬老院   112台北市北投區知行路75號
台南縣立龍崎教養院   719台南市龍崎區石嘈村11號
台灣長青老人會 412台中市大里區立仁路240巷56號
國家文化總會  100台北市中正區重慶南路二段15號
宜蘭縣志願服務協會   260宜蘭縣宜蘭市同慶街95號
新竹縣政府社會處    302新竹縣竹北市光明六路10號
社團法人台灣性學會   824高雄市燕巢區橫山路59號
社團法人外省台灣人協會 台北市紹興北街8號3樓
花蓮縣玉里鎮老人會   981花蓮縣玉里鎮忠智路72號
高雄縣婦女發展協會   821高雄市路竹區中正路61號
中華兩岸婚姻協調促進會 台北市萬大路187巷8號B1
中華民國天使心關懷協會 台北市鎮江街7號7樓之6
內政部東區老人之家   970花蓮縣花蓮市民權路125號
彰化縣和美鎮婦女會   508彰化縣和美鎮愛華路245號
新竹市老人福利協進會  300新竹市中華路一段146號
臺北市遊民收容中心   235新北市中和區圓通路143號
花蓮縣鳳林鎮老人會   975花蓮縣鳳林鎮中華路164號
財團法人基督教中華協力會    300新竹市西門街295號
都市人基金會  251新北市淡水區淡水郵政121號信箱
雲林縣睦鄰關懷協會   632雲林縣虎尾鎮公安路197號
中華民國聾人協會    103台北市大同區太原路197號2樓
內政部南區兒童之家   813高雄市左營區翠華路1401號
台北市基督教劍橋長老教會    台北市福港街244巷3號
台南市政府社會處    708台南市安平區永華路二段6號
台東縣關山鎮老人會   956台東縣關山鎮豐田里19-4號
長青日間照顧中心    802高雄市苓雅區四維二路51號6F
高雄縣政府社會處    830高雄市鳳山區光復路2段120號
台中市學習障礙協會   403台中市西區五權路2-67號4樓
台中市心馨關懷協會   406台中市北屯區文昌三街85號
台北市陽明老人公寓   111台北市士林區格致路7號3樓
台北縣婦女會  220新北市板橋區挹秀里7鄰明德街8號
台東就業服務站關山台  956台東縣關山鎮中山路54號
嘉義縣義竹鄉婦女會   624嘉義縣義竹鄉仁里村318-2號
安琪兒家園   800高雄市新興區高雄郵政69之123號信箱
屏東縣政府社會處    900屏東縣屏東市建豐路180巷35號
彰化縣婦女會  500彰化縣彰化市卦山里1鄰卦山路6號
桃園市基督教女青年會  324桃園縣平鎮市廣泰路77號
社團法人新竹市至愛服務協會   300新竹市東南街24號
苗栗縣陶瓷文化協會   360苗栗縣苗栗市僑育北街87號
衛生福利部中區兒童之家 403台中市西區大明街27號
財團法人虹橋傳道會   701台南市東區怡平路140巷29號
高雄市政府社會局    802高雄市苓雅區四維三路2號2樓
高雄市鹽埕埔文化協會  803高雄市鹽埕區必信街98號
高雄縣甲仙鄉愛鄉協會  847高雄市甲仙區林森路98號
中華民國保母策進會   106台北市大安區台北市大安區
中華長青門球協會    402台中市南區平和里和昌街107號
台北市婦女會  100台北市中正區杭州南路一段11巷6號
台南市婦女會  700台南市中西區忠義路二段是41號8樓
台灣嘉義地方法院觀護人室    600嘉義市林森東路282號
國立陽明大學附設醫院  260宜蘭縣宜蘭市新民路152號
好好婦女權益發展協會  912屏東縣內埔鄉南華路120號
屏東縣水噹噹關懷協會  900屏東縣屏東市自由路576號
彰化縣社會工作師公會  500彰化縣彰化市大埔路666號
新北市愛智發展中心   220新北市板橋區中正路10號1樓
新竹縣湖口鄉殘障協會  303新竹縣湖口鄉德興路128號
新竹縣湖口鄉殘障協會  303新竹縣湖口鄉德興路128號
桃園縣桃花源發展協會  324桃園縣平鎮市廣泰路360號
桃園縣越南婦女協進會  334桃園縣八德市中華路116號
社團法人世界和平會嘉義分會   600嘉義市蘭井街216號
社團法人嘉義市腦性麻痺協會   600嘉義市玉康路160號
花蓮縣愛加倍關懷協會  970花蓮縣花蓮市民權路119號
財團法人基督教芥菜種會 973花蓮縣吉安鄉博愛新村
雲林縣政府社會處    640雲林縣斗六市雲林路二段515號
高雄縣旗山鎮婦女會   842高雄市旗山區延平一路494號
台南市飛雁發展協會   700台南市中西區和善街91巷27號
台南縣南瀛婦女成長協會 730台南市新營區大同路6號
嘉義市無國界社會福利協會    600嘉義市垂楊路496號B室
嘉義縣政府社會處    612嘉義縣太保市祥和二路東段1號
國際佛光會中華總會   110台北市信義區松隆路327號8樓
彰化縣線西鄉婦女會   507彰化縣線西鄉和線路957巷3號
新竹市肢體傷殘自強協會 300新竹市福德街17巷2號1樓
桃園縣梅花愛心協會   333桃園縣龜山鄉長壽路501號1樓
內政部北區兒童之家   338桃園縣蘆竹鄉中山路108巷36號
八里鄉天主教安老院   249新北市八里區中山路一段33號
台中市和樂關懷協會   403台中市西區忠誠里忠義街59號
台中市婦女發展協會   403台中市西區美村路一段632號B1
台中市心馨生活美學會  406台中市北屯區文昌三街85號
台中市政府社會處    400台中市中區自由路二段53號4.5樓
台北市中華基督教青年會 100台北市中正區許昌街19號
台南基督教家庭協談中心 701台南市東區光華街227-3號
台南縣社區家庭關懷協會 731台南市後壁區菁寮里39號
台灣生命社服協會    106台北市大安區泰順街26巷51號2樓
基隆市e世代青年發展協會    200基隆市仁愛區忠一路7號
屏東市長青學苑服務協會 900屏東縣屏東市華正路95號
彰化國際青年商會    500彰化縣彰化市中央路184號4樓之6
彰化縣主光老人養護中心 509彰化縣伸港鄉忠孝路31號
彰化縣大眾老人養護中心 508彰化縣和美鎮德南路18號
彰化縣彰德慈善會    504彰化縣秀水鄉陝西村南抵巷38號
新北市立八里愛心教養院 249新北市八里區華富山37號
新竹縣峨眉鄉婦女會   315新竹縣峨眉鄉峨眉村八鄰12號
映晟社會工作師事務所  330桃園縣桃園市江南八街35號
桃園縣婦女健康育樂協會 330桃園縣桃園市縣府路55號
桃園縣物業管理協會   330桃園縣桃園市中正路1430號1樓
法律扶助基金會南投分會 540南投縣南投市復興路76號
法律扶助基金會台東分會 950台東縣台東市浙江路71號
法律扶助基金會新竹分會 300新竹市北大路180號3樓A室
社團法人台中市生命線協會    400台中市中區大誠街48號
社團法人嘉義市父母成長協會   600嘉義市福義街8號3樓
臺東縣家庭教育中心   950台東縣台東市中華路二段17號
花蓮縣政府社會處婦幼科 970花蓮縣花蓮市府前路17號
財團法人台灣省台中樂成宮    401台中市東區旱溪街48號
財團法人國國淳社福基金會附設琉璃光老人養護中心
財團法人晴光文教基金會 505彰化縣鹿港鎮東興路45號
財團法人濟興長青基金會 824高雄市燕巢區橫山路72號
財團法人翰林文教基金會 702台南市南區新忠路8之1號
迦南精神護理之家    545南投縣埔里鎮中山路一段182-1號
雲林縣婦女福利服務中心 640雲林縣斗六市府文路22號
高雄市靈雲功德會    843高雄市美濃區德興里永華街60號
高雄縣內門鄉婦女會   845高雄市內門區內門村內門22號
中華團體心理治療學會  106台北市大安區麗水街28號5樓
中華民國合家歡協會   100台北市中正區林森南路2號5樓D
中華民國社區諮商學會  106台北市大安區麗水街28號6樓
中華民國社會服務協會  813高雄市左營區重明路23號3樓
中華民國紅十字會總會  108台北市萬華區艋舺大道303號
台中市保母協會 404台中市北區賴旺里大雅路670巷3-1號
台中市黎明城鄉發展協會 408台中市南屯區干城街152號
台中縣國際蘭馨交流協會 420台中市豐原區東仁街138號
台北市大同區社會福利服務中心  台北市昌吉街57號6樓
台北市愛心婦女會    110台北市信義區莊敬路325巷44號7樓
台北市立啟聰學校    103台北市大同區重慶北路三段320號
台北市立慢性病防治院  104台北市中山區林森北路530號
台北縣少年輔導委員會  236新北市土城區和平路22號5樓
台南市生命線協會    700台南市中西區中山路90號9樓914室
台南縣私立施恩教養院  710台南市永康區王行東路100號
台東縣婦女家庭服務中心 950台東縣台東市更生路338號
台東縣婦女家庭服務中心 950台東縣台東市更生路338號
台灣痳瘋救濟基金會   104台北市中山區松江路206號8F之8
台灣高爾夫推廣協會   830高雄市鳳山區南華一路133-12號
嘉義縣身心障礙者聯合會 603嘉義縣梅山鄉中山路748號
宇宙光輔導中心 106台北市大安區和平東路二段24號8樓
屏東縣社會救濟事業協會 900屏東縣屏東市豐華街134號
左營居家服務支援中心  813高雄市左營區復興新村335號
彰化縣和園老人養護中心 503彰化縣花壇鄉中正路142號
彰化縣埔心老人養護中心 513彰化縣埔心鄉興霖路577號
彰化縣慈惠老人養護中心 500彰化縣彰化市中民街100號
彰化縣群燕老人養護中心 500彰化縣彰化市林森路157號
彰化縣芬園鄉婦女會   502彰化縣芬園鄉彰南路三段490號
桃園縣私立育德兒童之家 上田里營盤腳10鄰14之5號2樓
法律扶助基金會澎湖分會 880澎湖縣馬公市中華路100號
法律扶助基金會金門分會 893金門縣金城鎮中興路198號
社團法人中華普露功德會 420台中市豐原區中正路390號
社團法人新竹市盲人福利協進會  300新竹市南大路191號
社團法人新竹市聾人協會 300新竹市中正路370巷34弄5號
社團法人新竹市腦性麻痺協會   300新竹市世界街92號4樓
社團法人花蓮縣大比大家庭關懷協會    971花蓮縣新城鄉
社團法人高故事媽媽協會 830高雄市鳳山區新富路612號
社團法人高雄縣褓姆協會 830高雄市鳳山區文衡路286號
花蓮縣博愛全人發展協會 970花蓮縣花蓮市博愛街225號
花蓮縣溫馨關懷志工協會 973花蓮縣吉安鄉建昌路201號
苗栗縣西湖鄉婦女會   368苗栗縣西湖鄉龍洞村1鄰1之2號
行政院衛生署樂生療養院 242新北市新莊區中正路794號
財團法人中華啟能基金會 237新北市三峽區大埔路220號
財團法人台北市?公農業產銷基金會    中孝東路一段10號
財團法人台東基督教醫院 950台東縣台東市開封街350號
財團法人天主教會台中教區    404台中市北區德化街368號
財團法人天主教耕莘醫院 231新北市新店區中正路362號
財團法人天主教遣使會  261宜蘭縣頭城鎮開蘭東路1-1號
財團法人屏東基督教醫院 900屏東縣屏東市大連路號
財團法人思源醫療基金會 242新北市新莊區思源路127號
雲林縣兒童福利服務中心 648雲林縣西螺鎮中山路227號
高雄市女性權益促進會  807高雄市三民區十全一路100號
高雄市長生老人服務協會 807高雄市三民區松江街250號
高雄縣大樹文史協會   840高雄市大樹區久堂村(路)97-1號
中國醫藥學院附設醫院社工室   404台中市北區育德路2號
中華民國啟聰協會    241新北市三重區福德南路24巷4號3樓
中華民國腦性麻痺協會  112台北市北投區大業路166號5樓
仁和老人養護中心    954台東縣卑南鄉利嘉村627巷31弄16號
台北市中山區社會福利服務中心  台北市合江街137號3樓
台北市立啟明學校    111台北市士林區忠誠路二段207巷1號
台北市立啟智學校    111台北市士林區忠誠路二段207巷3號
台南縣社區照顧協會   730台南市新營區東學路47巷1弄1號
台灣台北少年觀護所   236新北市土城區清化里石門路4號
台灣展翅協會  104台北市中山區民權東路二段26號4樓之5
台灣省慈音愛心慈善會  508彰化縣和美鎮和光路122之2號
嘉義縣梅山鄉老人會   603嘉義縣梅山鄉梅南村梅仔山9號
家扶好鄰居愛心物資銀行 730台南市新營區大同路45-3號
屏安醫院    909屏東縣麟洛鄉屏東縣麟洛鄉中山路160之1號
彰化縣伸港國際同濟會  509彰化縣伸港鄉新興路19巷13號
桃園縣教育志工聯盟   324桃園縣平鎮市廣達里廣平街1號
桃園縣濟世功德協進會  320桃園縣中壢市明德路176號2樓
法律扶助基金會嘉義分會 600嘉義市東區中山路107號2樓
法律扶助基金會花蓮分會 970花蓮縣花蓮市順興路12-1號
社團法人新北市視障協會 238新北市樹林區備內街69-1號
臺中市沙鹿區身障日托中心    433台中市沙鹿區福幼街8號
財團法人南瀛文教基金會 745台南市安定區港尾村1-24號
財團法人天主教若瑟基金會    632雲林縣虎尾鎮民權路2號
中華民國抗癌人協會   108台北市萬華區康定路25巷38號2樓
中華社會行政學會    104台北市中山區羅斯福路一段7號2樓
南投縣南投市婦女會   540南投縣南投市康壽里玉井街51號
台中市志願服務協會   407台中市西屯區青海路二段286-1號
台中市青少年福利服務中心    402台中市南區合作街6號2樓
台北市松德團體家庭   110台北市信義區松德路25巷60號2樓
台北市私立嘉恩老人養護所    106台北市大安區安居街27號
台北市私立建民老人養護所    112台北市北投區建民路22號
台北縣政府社會局    220新北市板橋區中山路一段161號25樓
台南縣私立永靜教養院  720台南市官田區東庄村119之40號
台南縣青少年兒童關懷協會    736台南市柳營區博愛街30號
台灣基督長老教會山美教會    605嘉義縣阿里山山美村89號
台灣家庭更新協會    804高雄市鼓山區中華一路350號2樓之2
台灣慧行志工救生游泳協會    320桃園縣中壢市志廣路87號
台灣民主太平洋聯盟促進會    100台北市中正區衡陽路51號
基隆市志願服務協會   200基隆市仁愛區忠四路29號地下樓
宜蘭縣鴻毅志願服務協會 270宜蘭縣蘇澳鎮長安東巷35號
屏東好好婦女發展協會  900屏東縣屏東市華正路97號311室
屏東縣九如鄉民俗推展協會    904屏東縣九如鄉光復街83號
彰化縣俊光老人養護中心 500彰化縣彰化市崙平北路26號
彰化縣健民老人養護中心 523彰化縣埤頭鄉溪林路177-1號
彰化縣日英老人養護中心 528彰化縣芳苑鄉建成路501-1號
彰化縣私立靜和家園   516彰化縣埔鹽鄉出水村埔港路62號
彰化縣莊麗雲老人養護中心    500彰化縣彰化市中興路83號
桃園縣臨床心理師公會  320桃園縣中壢市中山路134號11樓
桃源家扶彩虹工作站   848高雄市桃源區桃源村北進巷41號
法律扶助基金會宜蘭分會 268宜蘭縣五結鄉舊街路130-1號
社團法人台灣社區重建協會    434台中市龍井區遠東街31號
社團法人新竹市殘障運動發展協會 300新竹市東南街22號
社團法人新竹縣生命線協會    310新竹縣竹東鎮竹榮街10號
社團法人雲林縣婦女保護會    640雲林縣斗六市長春路52號
社團法人高雄市佛臨濟助會    803高雄市鹽埕區安石街35號
社團法人高雄縣幸運草協會    830高雄市鳳山區長安街52號
臺東縣原住民婦女關懷協會    950台東縣台東市新成街64號
苗栗縣泰安鄉婦幼服務中心    364苗栗縣大湖鄉民族路97號
衛生福利部社會及家庭署 100台北市中正區徐州路5號7樓
財團法人老五老基金會總會    406台中市北屯區松山街79號
財團法人許加紀念基金會 100台北市中正區襄陽路9號5樓
財團法人雲林縣雲萱基金會    640雲林縣斗六市武陵街51號
雲林縣觀自在文教功德會 632雲林縣虎尾鎮安溪里104-2號
雲林縣越南同鄉權益協進會    640雲林縣斗六市上海路59號
高雄市三民街友服務中心 807高雄市三民區天祥二路31號
高雄市好牽手婦女成長協會    812高雄市小港區福隆街63號
高雄縣田寮鄉婦女會   823高雄市田寮區南安村崗安村96號
高雄縣鳳揚舞蹈協會   830高雄市鳳山區維新路124號11F-3室
中華啟明重建協會    404台中市北區台中市北區民權路454號
中華文化養生運動協會  104台北市中山區松江路289號908室
中華民國傷殘育樂協會  100台北市中正區延平南路46號2樓
中華民國老人健康養護協會    110台北市信義區吳興街252號
中華民國老人福利協進會 110台北市信義區信安街78號2樓
台中市太平里社區關懷協會    411台中市太平區永豐路148號
台北市私立中山老人養護所    108台北市萬華區峨嵋街124號
台北市私立瑞峰老人養護所    112台北市北投區明德路259號
台北市私立青青老人養護所    110台北市信義區永吉路371號
台北縣深坑鄉婦女會   222新北市深坑區昇高村雲鄉路167號
台南市永續環境協會   702台南市南區再興里6鄰三官路20號
台東縣家庭照顧者關懷協會    950台東縣台東市正氣路468號
台東縣蘭嶼鄉居家關懷協會    952台東縣蘭嶼鄉東清村130號
台東縣鹿野鄉長青協會  955台東縣鹿野鄉中華路一段408號
台灣健康照顧研究學會  912屏東縣內埔鄉學興路130巷110號
台灣志願服務國際交流協會    813高雄市左營區崇德路801號
台灣氣喘之友協會    104台北市中山區天祥路16巷15號6樓之9
台灣身心健康促進學會  112台北市北投區立農街二段155樓
嘉義市祥和社會福利服務協會   600嘉義市民國路211-3號7樓
嘉義縣溪口鄉婦女會   623嘉義縣溪口鄉溪西村中正路179號
宜蘭縣利澤簡文教促進會 268宜蘭縣五結鄉利澤路68號2樓
屏東縣太子宮慈善會   908屏東縣長治鄉潭頭村潭頭路215號
成功鎮家庭暨婦女服務中心    961台東縣成功鎮中華路150號
新竹市學習障礙教育協進會    300新竹市新竹市大同路125號
新竹縣現代婦女志工協會 302新竹縣竹北市縣政二路101號
桃園縣中壢南星扶輪社  320桃園縣中壢市中華路二段814號
桃園縣八德市婦女發展協會    334桃園縣八德市興豐路293號
桃園縣龜山鄉婦女會   333桃園縣龜山鄉中興路一段三十號
法律扶助基金會馬祖分會 209連江縣南竿鄉介壽村14之2號
炬輪技藝發展協會    106台北市大安區新生南路三段4號13樓
社團法人台北市保母協會 110台北市信義區大道路73號4樓
社團法人台南市志願服務協會   704台南市北區公園路591號
社團法人台灣智青之友協會    807高雄市三民區莊敬路231號
社團法人台灣誼光協會  100台北市中正區博愛路1巷1號3樓
社團法人彰化縣生命線協會    500彰化縣彰化市中華路338號
社團法人彰化縣聖賢行善會    508彰化縣和美鎮西川路326號
社團法人新竹市陽光仁愛協會   300新竹市東大路二段714號
社團法人苗栗縣生命線協會    360苗栗縣苗栗市縣府路102號
社團法人高雄市金齡協會 807高雄市三民區九如一路899號
社團法人高雄市金齡協會 807高雄市三民區十全一路100號
臺北市文山老人服務中心 116台北市文山區萬壽路27號6樓
臺北市西區少年服務中心 108台北市萬華區梧州街36號5樓
西螺早期療育日間托育中心    648雲林縣西螺鎮中山路227號
觀世音信眾博愛慈心會  241新北市三重區中寮街2巷9號1樓
財團法人一貫道崇正基金會    411台中市太平區東平路766號
財團法人天主教主顧修女會    243新北市泰山區新生路四號
財團法人天主教會花蓮教區    970花蓮縣花蓮市中美路168號
財團法人天主教福利會  222新北市深坑區北深路二段155號
財團法人天主教聖功醫院 802高雄市苓雅區建國一路352號
財團法人幸福福利文教基金會   404台中市北區華富街109號
財團法人張老師基金會  104台北市中山區松江路219號401室
財團法人微龍教育基金會 260宜蘭縣宜蘭市同慶街95號5樓
財團法人罕見疾病基金會 104台北市中山區長春路20號6樓
財團法人臺灣更生保護會新竹分會 300新竹市中正路136號
高雄市加百列社區關懷協會    802高雄市苓雅區武營路559號
高雄縣阿蓮鄉鳳凰健康協會    822高雄市阿蓮區中正路874號
三民居家服務支援中心  813高雄市左營區自由二路309號3樓
中華康福運動研究會   320桃園縣中壢市莊敬路ㄧ段128號2樓
中華民國聲暉聯合會   427台中市潭子區中山路一段185巷1號
前鎮居家服務支援中心  806高雄市前鎮區中華五路981號3樓
台中縣外埔鄉婦女會   438台中市外埔區大同村六分路277號.
台北市中正老人服務中心 100台北市中正區博愛路230巷6號
台北市立陽明教養院永福院區   111台北市士林區莊頂路2號
台南市循理疼厝邊服務協會    704台南市北區北華街170巷2號
台東縣關懷洗腎者協會  950台東縣台東市正氣北路229巷2號
台灣人文藝術推廣教育協會    402台中市南區民生路7-2號5樓
台灣同志諮詢熱線    100台北市中正區羅斯福路二段70號12樓
台灣女性學學會 106台北市大安區新生南路三段56巷7號2樓
善牧基金會小羊之家-新竹工作站 300新竹市中山路53號6樓
嘉義市欣願福利協會   600嘉義市西區重興里重興街12巷16號
基隆市駱駝志工協會   203基隆市中山區中山一路巷號
宜蘭縣按摩業職業工會  265宜蘭縣羅東鎮大同路59號4樓之5
家扶基金會南台南家扶中心    700台南市中西區西賢1街139號
彰化縣竣光老人長期照顧中心   510彰化縣員林鎮光明街7號
新竹市身心障礙者聯合就業協會  300新竹市食品路328號1樓
桃園縣新屋鄉婦女發展協會    327桃園縣新屋鄉中山路166號.
法律扶助基金會基隆分會 200基隆市仁愛區忠一路14號11樓
法律扶助基金會雲林分會 632雲林縣虎尾鎮新興路116號6樓
社團法人台灣防暴聯盟  100台北市中正區林森南路130號4樓
社團法人嘉義市生命線協會    600嘉義市東區台斗街147之3號
社團法人屏東縣海青青弘會    900屏東縣屏東市建國路42-1號
社團法人屏東縣生命線協會    900屏東縣屏東市長春街42-1號
花蓮縣社區關懷發展協會 970花蓮縣花蓮市睦和街59巷11號
財團法人中國信託慈善基金會   110台北市信義區松壽路3號
財團法人光寶文教基金會 114台北市內湖區瑞光路392號1樓
財團法人婦女新知基金會 104台北市中山區龍江路264號4樓
財團法人永續台灣文教基金會   701台南市東區勝利路85號2F
雲林縣日頭花姊妹協會  632雲林縣虎尾鎮平和里青埔2-23號
高雄長期照顧管理中心  801高雄市前金區中正四路261號2樓
中華民國青少年兒童福利學會   111台北市士林區華岡路55號
南投縣家庭照顧者關懷協會    540南投縣南投市民族路5號2樓
台中市旱溪關懷社區協會 401台中市東區旱溪里旱溪2街1號
台中市社區婦女成長協會 403台中市西區福林里福康路86號
台中縣新移民家庭關懷協會    420台中市豐原區大明路227-7號
台北市立浩然敬老院廣慈院區   112台北市北投區知行路75號
台南縣南庄社區營造發展協會   716台南市南化區中坑村13號
台南縣私立荷園教養院  710台南市永康區中山南路195巷15號
台東縣東甯志工服務協會 950台東縣台東市四維路三段63號
台灣媳婦關懷促進協會  241新北市三重區重陽路四段7號2樓
台灣無障礙協會 801高雄市前金區中正四路 號 樓之 2
嘉義市生命線附設社區心理健康中心    600嘉義市福全街54號
基隆市關懷皮膚之友協會 202基隆市中正區正義路23-1號5樓
天主教會附設秀林鄉家婦中心   972花蓮縣秀林鄉秀林村51號
宜蘭縣政府社會處社會工作科   260宜蘭縣宜蘭市同慶街95號
宜蘭縣老人福利推動聯盟 260宜蘭縣宜蘭市民權路一段65號
屏東縣仁和關懷協進會  927屏東縣林邊鄉仁和村中林路31號
屏東縣好好婦女權益發展協會   900屏東縣屏東市華正路97號
彰化縣伍倫惠來老人養護中心   510彰化縣員林鎮光明街77號
彰化縣寶贊老人養護中心 504彰化縣秀水鄉民意街165巷19號
彰化縣良惠老人養護中心 510彰化縣員林鎮新義街85號4-5樓
新北市基督教女青年會  220新北市板橋區東門街30-2號11-5樓
新竹縣竹東鎮肢體殘障協進會   310新竹縣竹東鎮榮樂街17號
桃園縣客家文化歌謠協會 326桃園縣楊梅市中山里1鄰46-1號
桃園縣桃友關懷服務協進會    320桃園縣中壢市定寧路1號3樓
桃園縣渴望大專志工服務協會   330桃園縣桃園市中央街40號
法律扶助基金會桃園分會 330桃園縣桃園市縣府路332號12樓
法律扶助金金會屏東分會 900屏東縣屏東市棒球路57-1號2樓
社團法人中華萱民會   900屏東縣屏東市和生路1段14號4樓之1
社團法人台南縣愛家協會 710台南市永康區永二街411號15樓
社團法人嘉義縣生命線協會    621嘉義縣民雄鄉文化路5之8號
社團法人慈光心智關懷協會    723台南市西港區西港里45-34號
社團法人雲林縣婦幼關懷協會   652雲林縣水林鄉和平街54號
社團法人雲林縣耕心家庭協會   640雲林縣斗六市內林路59號
社團法人高雄市寬德健康協會   802高雄市苓雅區心正路31號
社團法人高雄縣故事媽媽協會   830高雄市鳳山區文英路18號
臺中市綠川婦女福利服務中心   402台中市南區合作街6號2樓
臺北市信義老人服務中心 110台北市信義區松隆路36樓4.5樓
花蓮縣吉安鄉老人會   973花蓮縣吉安鄉吉安村中山路3段1號
花蓮縣牛根草社區發展促進會   975花蓮縣鳳林鎮平康路10號
苗栗縣黃金小鎮協進會  363苗栗縣公館鄉福星村4鄰115之1號
財團法人台灣基督長老教會嘉義中會    600嘉義市嘉北街86號
財團法人寶桑教育基金會 950台東縣台東市四維路三段70號
財團法人屏東基督教勝利之家   900屏東縣屏東市大連路19號
財團法人幸福福利文教基金會   600嘉義市西區國聖三街14號
財團法人新竹市天主教仁愛啟智中心    300新竹市水源街81號
財團法人美和技術學院  912屏東縣內埔鄉美和村屏光路23號
財團法人董氏基金會   105台北市松山區復興北路57號12樓之3
財團法人陳中和翁慈善基金會   802高雄市苓雅區苓東路14號
財團法人高雄基督教信義醫院   802高雄市苓雅區華新街86號
高雄市北區兒童發展中心 811高雄市楠梓區德賢街220巷19號
高雄市原住民長青協會  806高雄市前鎮區佛公路36巷26弄2號
高雄市盲人福利協進會  800高雄市新興區開封路300巷4之3號
高雄縣大樹鄉長欣老人協進會   840高雄市大樹區久堂村97號
高雄縣林園鄉舞蹈協會  832高雄市林園區仁愛村和平路10號
高雄縣社區文化藝術推廣協會   830高雄市鳳山區瑞進路36號
高雄縣私立永新老人養護中心   821高雄市路竹區竹南街93號
高雄縣鳳山市老人福利協進會   830高雄市鳳山區體育路65號
中華民國玄德孝親慈善協會    324桃園縣平鎮市福林里8鄰58號
內政部南投啟智教養院  551南投縣名間鄉仁和村山腳巷1-7號
南投縣社會工作師公會  542南投縣草屯鎮御史里玉屏路161號
